tweet,original_sentiment,conllu_parse
It's so beautiful that many Army are donating their BTS ticket refunds to help fight coronavirus.,positive,"# text = It's so beautiful that many Army are donating their BTS ticket refunds to help fight coronavirus.
1	It	it	PRON	PRP	_	2	nsubj	_	_
2	's	be	AUX	VBZ	_	0	ROOT	_	_
3	so	so	ADV	RB	_	4	advmod	_	_
4	beautiful	beautiful	ADJ	JJ	_	2	acomp	_	_
5	that	that	SCONJ	IN	_	9	mark	_	_
6	many	many	ADJ	JJ	_	7	amod	_	_
7	Army	Army	PROPN	NNP	_	9	nsubj	_	_
8	are	be	AUX	VBP	_	9	aux	_	_
9	donating	donate	VERB	VBG	_	2	ccomp	_	_
10	their	their	PRON	PRP$	_	13	poss	_	_
11	BTS	bts	NOUN	NN	_	12	compound	_	_
12	ticket	ticket	NOUN	NN	_	13	compound	_	_
13	refunds	refund	NOUN	NNS	_	9	dobj	_	_
14	to	to	PART	TO	_	15	aux	_	_
15	help	help	VERB	VB	_	9	advcl	_	_
16	fight	fight	VERB	VB	_	15	xcomp	_	_
17	coronavirus	coronavirus	NOUN	NN	_	16	dobj	_	_
18	.	.	PUNCT	.	_	2	punct	_	_"
Fear is the 'underlying condition' for most of us regarding coronavirus scare in U.S.,positive,"# text = Fear is the 'underlying condition' for most of us regarding coronavirus scare in U.S.
1	Fear	fear	NOUN	NN	_	2	nsubj	_	_
2	is	be	AUX	VBZ	_	0	ROOT	_	_
3	the	the	DET	DT	_	6	det	_	_
4	'	'	PUNCT	``	_	6	punct	_	_
5	underlying	underlie	VERB	VBG	_	6	amod	_	_
6	condition	condition	NOUN	NN	_	2	attr	_	_
7	'	'	PUNCT	''	_	6	punct	_	_
8	for	for	ADP	IN	_	6	prep	_	_
9	most	most	ADJ	JJS	_	8	pobj	_	_
10	of	of	ADP	IN	_	9	prep	_	_
11	us	we	PRON	PRP	_	10	pobj	_	_
12	regarding	regard	VERB	VBG	_	6	prep	_	_
13	coronavirus	coronavirus	NOUN	NN	_	14	compound	_	_
14	scare	scare	NOUN	NN	_	12	pobj	_	_
15	in	in	ADP	IN	_	14	prep	_	_
16	U.S.	U.S.	PROPN	NNP	_	15	pobj	_	_"
@cattleclass2019 @BBCNews NHS would not be able to cope if there is an outbreak of Coronavirus in the UK.,positive,"# text = @cattleclass2019 @BBCNews
1	@cattleclass2019	@cattleclass2019	PROPN	NNP	_	0	ROOT	_	_
2	@BBCNews	@BBCNews	PROPN	NNP	_	1	punct	_	_

# text = NHS would not be able to cope if there is an outbreak of Coronavirus in the UK.
1	NHS	NHS	PROPN	NNP	_	4	nsubj	_	_
2	would	would	AUX	MD	_	4	aux	_	_
3	not	not	PART	RB	_	4	neg	_	_
4	be	be	AUX	VB	_	0	ROOT	_	_
5	able	able	ADJ	JJ	_	4	acomp	_	_
6	to	to	PART	TO	_	7	aux	_	_
7	cope	cope	VERB	VB	_	5	xcomp	_	_
8	if	if	SCONJ	IN	_	10	mark	_	_
9	there	there	PRON	EX	_	10	expl	_	_
10	is	be	VERB	VBZ	_	7	ccomp	_	_
11	an	an	DET	DT	_	12	det	_	_
12	outbreak	outbreak	NOUN	NN	_	10	attr	_	_
13	of	of	ADP	IN	_	12	prep	_	_
14	Coronavirus	Coronavirus	PROPN	NNP	_	13	pobj	_	_
15	in	in	ADP	IN	_	12	prep	_	_
16	the	the	DET	DT	_	17	det	_	_
17	UK	UK	PROPN	NNP	_	15	pobj	_	_
18	.	.	PUNCT	.	_	4	punct	_	_"
Factbox: Latest on the spread of coronavirus around the world,positive,"# text = Factbox: Latest on the spread of coronavirus around the world
1	Factbox	factbox	NOUN	NN	_	0	ROOT	_	_
2	:	:	PUNCT	:	_	1	punct	_	_
3	Latest	latest	NOUN	NN	_	1	appos	_	_
4	on	on	ADP	IN	_	3	prep	_	_
5	the	the	DET	DT	_	6	det	_	_
6	spread	spread	NOUN	NN	_	4	pobj	_	_
7	of	of	ADP	IN	_	6	prep	_	_
8	coronavirus	coronavirus	NOUN	NN	_	7	pobj	_	_
9	around	around	ADP	IN	_	6	prep	_	_
10	the	the	DET	DT	_	11	det	_	_
11	world	world	NOUN	NN	_	9	pobj	_	_"
'Millions' with flu symptoms may need to 'self-isolate' due to coronavirus,negative,"# text = 'Millions' with flu symptoms may need to 'self-isolate' due to coronavirus
1	'	'	PUNCT	``	_	8	punct	_	_
2	Millions	million	NOUN	NNS	_	8	nsubj	_	_
3	'	'	PUNCT	''	_	2	punct	_	_
4	with	with	ADP	IN	_	2	prep	_	_
5	flu	flu	NOUN	NN	_	6	compound	_	_
6	symptoms	symptom	NOUN	NNS	_	4	pobj	_	_
7	may	may	AUX	MD	_	8	aux	_	_
8	need	need	VERB	VB	_	0	ROOT	_	_
9	to	to	PART	TO	_	13	aux	_	_
10	'	'	PUNCT	``	_	13	punct	_	_
11	self	self	NOUN	NN	_	13	npadvmod	_	_
12	-	-	PUNCT	HYPH	_	13	punct	_	_
13	isolate	isolate	NOUN	NN	_	8	xcomp	_	_
14	'	'	PUNCT	''	_	13	punct	_	_
15	due	due	ADJ	JJ	_	8	prep	_	_
16	to	to	ADP	IN	_	15	pcomp	_	_
17	coronavirus	coronavirus	NOUN	NN	_	16	pobj	_	_"
US military prepping for coronavirus pandemic,negative,"# text = US military prepping for coronavirus pandemic
1	US	US	PROPN	NNP	_	3	nmod	_	_
2	military	military	NOUN	NN	_	3	amod	_	_
3	prepping	prepping	NOUN	NN	_	0	ROOT	_	_
4	for	for	ADP	IN	_	3	prep	_	_
5	coronavirus	coronavirus	PROPN	NNP	_	6	compound	_	_
6	pandemic	pandemic	PROPN	NNP	_	4	pobj	_	_"
Idk I don't think the anti vax community is too worried about a corona virus cure lmao,positive,"# text = Idk I don't think the anti vax community is too worried about a corona virus cure lmao
1	Idk	Idk	PROPN	NNP	_	5	npadvmod	_	_
2	I	I	PRON	PRP	_	5	nsubj	_	_
3	do	do	AUX	VBP	_	5	aux	_	_
4	n't	not	PART	RB	_	5	neg	_	_
5	think	think	VERB	VB	_	0	ROOT	_	_
6	the	the	DET	DT	_	9	det	_	_
7	anti	anti	ADJ	AFX	_	9	amod	_	_
8	vax	vax	PROPN	NNP	_	9	compound	_	_
9	community	community	NOUN	NN	_	10	nsubj	_	_
10	is	be	AUX	VBZ	_	5	ccomp	_	_
11	too	too	ADV	RB	_	12	advmod	_	_
12	worried	worried	ADJ	JJ	_	10	acomp	_	_
13	about	about	ADP	IN	_	12	prep	_	_
14	a	a	DET	DT	_	18	det	_	_
15	corona	corona	PROPN	NNP	_	16	compound	_	_
16	virus	virus	NOUN	NN	_	18	compound	_	_
17	cure	cure	NOUN	NN	_	18	compound	_	_
18	lmao	lmao	PROPN	NNP	_	13	pobj	_	_"
@lookner I may have missed this earlier but did you report CDC is monitoring 110 possible cases of corona virus in 26 states in the US?,neutral,"# text = @lookner I may have missed this earlier but did you report CDC is monitoring 110 possible cases of corona virus in 26 states in the US?
1	@lookner	@lookner	PROPN	NNP	_	5	npadvmod	_	_
2	I	I	PRON	PRP	_	5	nsubj	_	_
3	may	may	AUX	MD	_	5	aux	_	_
4	have	have	AUX	VB	_	5	aux	_	_
5	missed	miss	VERB	VBN	_	0	ROOT	_	_
6	this	this	PRON	DT	_	5	dobj	_	_
7	earlier	early	ADV	RBR	_	5	advmod	_	_
8	but	but	CCONJ	CC	_	5	cc	_	_
9	did	do	AUX	VBD	_	11	aux	_	_
10	you	you	PRON	PRP	_	11	nsubj	_	_
11	report	report	VERB	VB	_	5	conj	_	_
12	CDC	CDC	PROPN	NNP	_	14	nsubj	_	_
13	is	be	AUX	VBZ	_	14	aux	_	_
14	monitoring	monitor	VERB	VBG	_	11	ccomp	_	_
15	110	110	NUM	CD	_	17	nummod	_	_
16	possible	possible	ADJ	JJ	_	17	amod	_	_
17	cases	case	NOUN	NNS	_	14	dobj	_	_
18	of	of	ADP	IN	_	17	prep	_	_
19	corona	corona	PROPN	NNP	_	20	compound	_	_
20	virus	virus	NOUN	NN	_	18	pobj	_	_
21	in	in	ADP	IN	_	14	prep	_	_
22	26	26	NUM	CD	_	23	nummod	_	_
23	states	state	NOUN	NNS	_	21	pobj	_	_
24	in	in	ADP	IN	_	23	prep	_	_
25	the	the	DET	DT	_	26	det	_	_
26	US	US	PROPN	NNP	_	24	pobj	_	_
27	?	?	PUNCT	.	_	11	punct	_	_"
Will warmer weather help stop coronavirus? Is street spraying effective?,positive,"# text = Will warmer weather help stop coronavirus?
1	Will	will	AUX	MD	_	4	aux	_	_
2	warmer	warm	ADJ	JJR	_	3	amod	_	_
3	weather	weather	NOUN	NN	_	4	compound	_	_
4	help	help	NOUN	NN	_	0	ROOT	_	_
5	stop	stop	VERB	VB	_	4	xcomp	_	_
6	coronavirus	coronavirus	NOUN	NN	_	5	dobj	_	_
7	?	?	PUNCT	.	_	4	punct	_	_

# text = Is street spraying effective?
1	Is	be	AUX	VBZ	_	0	ROOT	_	_
2	street	street	NOUN	NN	_	1	attr	_	_
3	spraying	spray	VERB	VBG	_	1	xcomp	_	_
4	effective	effective	ADJ	JJ	_	3	acomp	_	_
5	?	?	PUNCT	.	_	1	punct	_	_"
i need everybody in Arizona to realize the CORONAVIRUS IS IN ARIZONA.,neutral,"# text = i need everybody in Arizona to realize the CORONAVIRUS IS IN ARIZONA.
1	i	I	PRON	PRP	_	2	nsubj	_	_
2	need	need	VERB	VBP	_	0	ROOT	_	_
3	everybody	everybody	PRON	NN	_	2	dobj	_	_
4	in	in	ADP	IN	_	3	prep	_	_
5	Arizona	Arizona	PROPN	NNP	_	4	pobj	_	_
6	to	to	PART	TO	_	7	aux	_	_
7	realize	realize	VERB	VB	_	2	advcl	_	_
8	the	the	DET	DT	_	9	det	_	_
9	CORONAVIRUS	CORONAVIRUS	PROPN	NNP	_	10	nsubj	_	_
10	IS	be	AUX	VBZ	_	7	ccomp	_	_
11	IN	in	ADP	IN	_	10	prep	_	_
12	ARIZONA	ARIZONA	PROPN	NNP	_	11	pobj	_	_
13	.	.	PUNCT	.	_	2	punct	_	_"
