ID,tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,conllu_parse
1.24514e+18,Can Anyone tell me if you took the flu shot last year will it give you a positive result for Coronavirus even if you dont have it???,0,0,0,0,1,0,0,"# text = Can Anyone tell me if you took the flu shot last year will it give you a positive result for Coronavirus even if you dont have it???
1	Can	can	AUX	MD	_	3	aux	_	_
2	Anyone	anyone	PRON	NN	_	3	nsubj	_	_
3	tell	tell	VERB	VB	_	0	ROOT	_	_
4	me	I	PRON	PRP	_	3	dobj	_	_
5	if	if	SCONJ	IN	_	7	mark	_	_
6	you	you	PRON	PRP	_	7	nsubj	_	_
7	took	take	VERB	VBD	_	15	advcl	_	_
8	the	the	DET	DT	_	10	det	_	_
9	flu	flu	NOUN	NN	_	10	compound	_	_
10	shot	shot	NOUN	NN	_	7	dobj	_	_
11	last	last	ADJ	JJ	_	12	amod	_	_
12	year	year	NOUN	NN	_	7	npadvmod	_	_
13	will	will	AUX	MD	_	15	aux	_	_
14	it	it	PRON	PRP	_	15	nsubj	_	_
15	give	give	VERB	VB	_	3	ccomp	_	_
16	you	you	PRON	PRP	_	15	dative	_	_
17	a	a	DET	DT	_	19	det	_	_
18	positive	positive	ADJ	JJ	_	19	amod	_	_
19	result	result	NOUN	NN	_	15	dobj	_	_
20	for	for	ADP	IN	_	19	prep	_	_
21	Coronavirus	Coronavirus	PROPN	NNP	_	20	pobj	_	_
22	even	even	ADV	RB	_	27	advmod	_	_
23	if	if	SCONJ	IN	_	27	mark	_	_
24	you	you	PRON	PRP	_	27	nsubj	_	_
25	do	do	AUX	VBP	_	27	aux	_	_
26	nt	not	PART	RB	_	27	neg	_	_
27	have	have	VERB	VB	_	15	advcl	_	_
28	it	it	PRON	PRP	_	27	dobj	_	_
29	?	?	PUNCT	.	_	3	punct	_	_
30	?	?	PUNCT	.	_	3	punct	_	_
31	?	?	PUNCT	.	_	3	punct	_	_"
1.24514e+18,When someone you know.. apart of your family dies from the Coronavirus its shocking unexplainable. My whole day has been down.,0,0,0,0,0,1,0,"# text = When someone you know.. apart of your family dies from the Coronavirus its shocking unexplainable.
1	When	when	SCONJ	WRB	_	2	advmod	_	_
2	someone	someone	PRON	NN	_	10	npadvmod	_	_
3	you	you	PRON	PRP	_	4	nsubj	_	_
4	know	know	VERB	VBP	_	2	relcl	_	_
5	..	..	PUNCT	NFP	_	2	punct	_	_
6	apart	apart	ADV	RB	_	10	advmod	_	_
7	of	of	ADP	IN	_	6	prep	_	_
8	your	your	PRON	PRP$	_	9	poss	_	_
9	family	family	NOUN	NN	_	7	pobj	_	_
10	dies	die	VERB	VBZ	_	0	ROOT	_	_
11	from	from	ADP	IN	_	10	prep	_	_
12	the	the	DET	DT	_	13	det	_	_
13	Coronavirus	Coronavirus	PROPN	NNP	_	11	pobj	_	_
14	its	its	PRON	PRP$	_	16	poss	_	_
15	shocking	shocking	ADJ	JJ	_	16	amod	_	_
16	unexplainable	unexplainable	NOUN	NN	_	10	dobj	_	_
17	.	.	PUNCT	.	_	10	punct	_	_

# text = My whole day has been down.
1	My	my	PRON	PRP$	_	3	poss	_	_
2	whole	whole	ADJ	JJ	_	3	amod	_	_
3	day	day	NOUN	NN	_	5	nsubj	_	_
4	has	have	AUX	VBZ	_	5	aux	_	_
5	been	be	AUX	VBN	_	0	ROOT	_	_
6	down	down	ADV	RB	_	5	advmod	_	_
7	.	.	PUNCT	.	_	5	punct	_	_"
1.24514e+18,"Dear soccer, I really miss you ,please come back already :( Also dear corona , Frick u for ruining everything",0,0,0,0,0,1,1,"# text = Dear soccer, I really miss you ,please come back already :( Also dear corona , Frick u for ruining everything
1	Dear	dear	ADJ	JJ	_	2	amod	_	_
2	soccer	soccer	NOUN	NN	_	6	npadvmod	_	_
3	,	,	PUNCT	,	_	6	punct	_	_
4	I	I	PRON	PRP	_	6	nsubj	_	_
5	really	really	ADV	RB	_	6	advmod	_	_
6	miss	miss	VERB	VBP	_	10	ccomp	_	_
7	you	you	PRON	PRP	_	6	dobj	_	_
8	,	,	PUNCT	,	_	10	punct	_	_
9	please	please	INTJ	UH	_	10	intj	_	_
10	come	come	VERB	VB	_	0	ROOT	_	_
11	back	back	ADV	RB	_	10	advmod	_	_
12	already	already	ADV	RB	_	10	advmod	_	_
13	:(	:(	PUNCT	:	_	10	punct	_	_
14	Also	also	ADV	RB	_	16	advmod	_	_
15	dear	dear	ADJ	JJ	_	16	amod	_	_
16	corona	corona	NOUN	NN	_	10	npadvmod	_	_
17	,	,	PUNCT	,	_	16	punct	_	_
18	Frick	Frick	PROPN	NNP	_	19	compound	_	_
19	u	u	NOUN	NN	_	16	appos	_	_
20	for	for	ADP	IN	_	16	prep	_	_
21	ruining	ruin	VERB	VBG	_	20	pcomp	_	_
22	everything	everything	PRON	NN	_	21	dobj	_	_"
1.24514e+18,Update I destroyed the tire honestly if I get corona virus because of what just happened I deserved it,0,0,0,1,0,1,0,"# text = Update I destroyed the tire honestly if I get corona virus because of what just happened I deserved it
1	Update	update	NOUN	NN	_	3	npadvmod	_	_
2	I	I	PRON	PRP	_	3	nsubj	_	_
3	destroyed	destroy	VERB	VBD	_	0	ROOT	_	_
4	the	the	DET	DT	_	5	det	_	_
5	tire	tire	NOUN	NN	_	3	dobj	_	_
6	honestly	honestly	ADV	RB	_	3	advmod	_	_
7	if	if	SCONJ	IN	_	9	mark	_	_
8	I	I	PRON	PRP	_	9	nsubj	_	_
9	get	get	VERB	VBP	_	3	advcl	_	_
10	corona	corona	NOUN	NN	_	11	compound	_	_
11	virus	virus	NOUN	NN	_	9	dobj	_	_
12	because	because	SCONJ	IN	_	9	prep	_	_
13	of	of	ADP	IN	_	12	pcomp	_	_
14	what	what	PRON	WP	_	16	nsubj	_	_
15	just	just	ADV	RB	_	16	advmod	_	_
16	happened	happen	VERB	VBD	_	12	pcomp	_	_
17	I	I	PRON	PRP	_	18	nsubj	_	_
18	deserved	deserve	VERB	VBD	_	12	pcomp	_	_
19	it	it	PRON	PRP	_	18	dobj	_	_"
1.24514e+18,This feels like one big Stanford Prison Experiment. Ugh! quarantined corona,0,0,0,0,0,1,1,"# text = This feels like one big Stanford Prison Experiment.
1	This	this	PRON	DT	_	2	nsubj	_	_
2	feels	feel	VERB	VBZ	_	0	ROOT	_	_
3	like	like	ADP	IN	_	2	prep	_	_
4	one	one	NUM	CD	_	8	nummod	_	_
5	big	big	ADJ	JJ	_	8	amod	_	_
6	Stanford	Stanford	PROPN	NNP	_	8	compound	_	_
7	Prison	Prison	PROPN	NNP	_	8	compound	_	_
8	Experiment	Experiment	PROPN	NNP	_	3	pobj	_	_
9	.	.	PUNCT	.	_	2	punct	_	_

# text = Ugh! quarantined corona
1	Ugh	Ugh	PROPN	NNP	_	4	nmod	_	_
2	!	!	PROPN	NNP	_	1	punct	_	_
3	quarantined	quarantined	ADJ	JJ	_	4	amod	_	_
4	corona	corona	NOUN	NN	_	0	ROOT	_	_"
1.24514e+18,Someone should now come and tell us all this Coronavirus shit is just to have the best AprilFoolsDay .It would be a good news tho,1,0,0,0,0,0,1,"# text = Someone should now come and tell us all this Coronavirus shit is just to have the best AprilFoolsDay .It would be a good news tho
1	Someone	someone	PRON	NN	_	4	nsubj	_	_
2	should	should	AUX	MD	_	4	aux	_	_
3	now	now	ADV	RB	_	4	advmod	_	_
4	come	come	VERB	VB	_	0	ROOT	_	_
5	and	and	CCONJ	CC	_	4	cc	_	_
6	tell	tell	VERB	VB	_	4	conj	_	_
7	us	we	PRON	PRP	_	6	dative	_	_
8	all	all	DET	PDT	_	11	predet	_	_
9	this	this	DET	DT	_	11	det	_	_
10	Coronavirus	Coronavirus	PROPN	NNP	_	11	compound	_	_
11	shit	shit	NOUN	NN	_	12	nsubj	_	_
12	is	be	AUX	VBZ	_	6	ccomp	_	_
13	just	just	ADV	RB	_	12	advmod	_	_
14	to	to	PART	TO	_	15	aux	_	_
15	have	have	VERB	VB	_	12	xcomp	_	_
16	the	the	DET	DT	_	19	det	_	_
17	best	good	ADJ	JJS	_	18	amod	_	_
18	AprilFoolsDay	AprilFoolsDay	PROPN	NNP	_	19	compound	_	_
19	.It	.It	PROPN	NNP	_	21	nsubj	_	_
20	would	would	AUX	MD	_	21	aux	_	_
21	be	be	AUX	VB	_	15	ccomp	_	_
22	a	a	DET	DT	_	24	det	_	_
23	good	good	ADJ	JJ	_	24	amod	_	_
24	news	news	NOUN	NN	_	25	compound	_	_
25	tho	tho	PROPN	NNP	_	21	attr	_	_"
1.24514e+18,Everything is bigger and CRAZIER IN texas. Coronavirustruth coronavirus Covid_19 CoronavirusPandemicUSA,0,0,0,0,0,0,1,"# text = Everything is bigger and CRAZIER IN texas.
1	Everything	everything	PRON	NN	_	2	nsubj	_	_
2	is	be	AUX	VBZ	_	0	ROOT	_	_
3	bigger	big	ADJ	JJR	_	2	acomp	_	_
4	and	and	CCONJ	CC	_	3	cc	_	_
5	CRAZIER	CRAZIER	PROPN	NNP	_	3	conj	_	_
6	IN	in	ADP	IN	_	2	prep	_	_
7	texas	texas	PROPN	NNP	_	6	pobj	_	_
8	.	.	PUNCT	.	_	2	punct	_	_

# text = Coronavirustruth coronavirus Covid_19 CoronavirusPandemicUSA
1	Coronavirustruth	Coronavirustruth	PROPN	NNP	_	2	compound	_	_
2	coronavirus	coronavirus	PROPN	NNP	_	3	compound	_	_
3	Covid_19	Covid_19	PROPN	NNP	_	4	nsubj	_	_
4	CoronavirusPandemicUSA	CoronavirusPandemicUSA	VERB	VBD	_	0	ROOT	_	_"
1.24514e+18,"20 years from now* Hey mom, during 2020 how did you survive the corona virus?",1,0,0,1,0,1,0,"# text = 20 years from now*
1	20	20	NUM	CD	_	2	nummod	_	_
2	years	year	NOUN	NNS	_	3	npadvmod	_	_
3	from	from	ADP	IN	_	0	ROOT	_	_
4	now	now	ADV	RB	_	3	pcomp	_	_
5	*	*	NOUN	NN	_	3	punct	_	_

# text = Hey mom, during 2020 how did you survive the corona virus?
1	Hey	hey	INTJ	UH	_	9	intj	_	_
2	mom	mom	NOUN	NN	_	9	nsubj	_	_
3	,	,	PUNCT	,	_	9	punct	_	_
4	during	during	ADP	IN	_	9	prep	_	_
5	2020	2020	NUM	CD	_	4	pobj	_	_
6	how	how	SCONJ	WRB	_	9	advmod	_	_
7	did	do	AUX	VBD	_	9	aux	_	_
8	you	you	PRON	PRP	_	9	nsubj	_	_
9	survive	survive	VERB	VB	_	0	ROOT	_	_
10	the	the	DET	DT	_	12	det	_	_
11	corona	corona	PROPN	NNP	_	12	compound	_	_
12	virus	virus	NOUN	NN	_	9	dobj	_	_
13	?	?	PUNCT	.	_	9	punct	_	_"
1.24514e+18,"Thus, to ur point, a true count of coronavirus deaths is unlikely",0,0,0,1,0,1,0,"# text = Thus, to ur point, a true count of coronavirus deaths is unlikely
1	Thus	thus	ADV	RB	_	13	advmod	_	_
2	,	,	PUNCT	,	_	13	punct	_	_
3	to	to	ADP	IN	_	13	prep	_	_
4	ur	ur	PROPN	NNP	_	5	compound	_	_
5	point	point	NOUN	NN	_	3	pobj	_	_
6	,	,	PUNCT	,	_	5	punct	_	_
7	a	a	DET	DT	_	9	det	_	_
8	true	true	ADJ	JJ	_	9	amod	_	_
9	count	count	NOUN	NN	_	13	nsubj	_	_
10	of	of	ADP	IN	_	9	prep	_	_
11	coronavirus	coronavirus	NOUN	NN	_	12	compound	_	_
12	deaths	death	NOUN	NNS	_	10	pobj	_	_
13	is	be	AUX	VBZ	_	0	ROOT	_	_
14	unlikely	unlikely	ADJ	JJ	_	13	acomp	_	_"
1.24514e+18,"Yes. Want to get narrative out of corona, rightists, never do any right.",0,0,0,0,0,1,1,"# text = Yes.
1	Yes	yes	INTJ	UH	_	0	ROOT	_	_
2	.	.	PUNCT	.	_	1	punct	_	_

# text = Want to get narrative out of corona, rightists, never do any right.
1	Want	want	VERB	VB	_	12	parataxis	_	_
2	to	to	PART	TO	_	3	aux	_	_
3	get	get	VERB	VB	_	1	xcomp	_	_
4	narrative	narrative	NOUN	NN	_	3	acomp	_	_
5	out	out	ADP	IN	_	3	prep	_	_
6	of	of	ADP	IN	_	5	prep	_	_
7	corona	corona	PROPN	NNP	_	6	pobj	_	_
8	,	,	PUNCT	,	_	1	punct	_	_
9	rightists	rightist	NOUN	NNS	_	12	nsubj	_	_
10	,	,	PUNCT	,	_	9	punct	_	_
11	never	never	ADV	RB	_	12	neg	_	_
12	do	do	VERB	VBP	_	0	ROOT	_	_
13	any	any	DET	DT	_	14	det	_	_
14	right	right	NOUN	NN	_	12	dobj	_	_
15	.	.	PUNCT	.	_	12	punct	_	_"
